PCB Manufacturer Name,Email,Phone Contact,Location,Employees,Certifications,Industries,Website,EMS Type,Manufacturing Specifications,Assembly Specifications,Capabilities,Equipment,Constraints/Notes
Super PCB,info@superpcb.com,(214) 550-9837,"Plano, TX",Small-medium,"RoHS, ISO TS16949, ISO 9001, UL, IPC","Prototypes, consumer & industrial electronics",superpcb.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: prototype SMT lines: 0402 support, reflow, AOI basic, flying probe testing optional. Conformal coat: on request.",Prototype & low-volume production; price-sensitive.,"Typical small fab equipment: stencil printer, pick-and-place, reflow ovens, AOI (basic).",Firm focuses on prototype speed and competitive pricing.
"Trilogy Circuits, Inc. (acquired by Zentech in 2020)",info@trilogycircuits.com,972-907-2727 / 877-837-2727,"Richardson, TX",Small / medium,"UL,RoHS, ISO 9001:2015, ITAR, AS9100D","Aerospace, defense, high-reliability electronics",trilogycircuits.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: high-reliability assembly: fine pitch BGA, X-ray, ICT, conformal coating, thermal screening; box build & harnessing. 
Test: functional test, environmental screening.",Aerospace/defense & industrial,"Typical: KLA/Orbotech LDI, Koh Young AOI, Yxlon/ Nordson X-ray, high-end pick-and-place (Fuji/Flex/ASM).",Note: Trilogy acquired by Zentech
PCB International (PCBI),support@pcbinternational.com,206-310-3624,"Seattle, WA",Small / medium,"ISO, UL ","Consumer, industrial, commercial",pcbinternational.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: proto SMT, 0402 placement, 0.5 mm BGA support, AOI and inspection, flying probe for small runs, ICT for production runs.",Online quoting + prototyping focus. Good for prototyping DRC but confirm advanced HDI needs.,"Typical equipment for prototyping: desktop/bench scale pick-and-place, mid-range pick-and-place, reflow ovens, AOI.",Good for cost-sensitive projects; confirm lead time/volume specifics.
PCB Universe (PCBU),terryh@pcbuniverse.com,360-256-7222,"Vancouver, WA",Small / medium,"RoHS, UL, ISO","Prototypes, hobbyist, commercial prototyping",pcbuniverse.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: prototype pick-and-place, reflow, AOI; flying probe testing; support 0402 and 0201 for higher-end option.",Prototype & low-volume; online ordering infrastructure.,"Typical: stencil printers, Mydata/Fuji small to mid pick-and-place, reflow ovens, AOI.",Good for fast prototyping and smaller runs; larger production needs should be confirmed.
UMC GLOBAL (UMC Global Inc.),sales@umcglobal.com,(425) 483-0277 / (800) 886-4789,"Woodinville, WA",Small / medium,"RoHS, ISO/TS, UL, IPC",OEM electronics procurement / manufacturing,umcglobal.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)",Assembly: depends on the EMS partner assigned by UMC — could be anything from prototyping SMT to high-mix box build.,Supply chain & contract manufacturing coordination. Do not use as single DRC profile.,Equipment varies by partner — fetch per supplier.,
TouchPad Electronics LLC,sales@touchpadelectronics.com,262-378-3000,"Mukwonago, WI",Small / medium,"UL, RoHS, ISO 9001:2015, SMTA, ITAR","Commercial, industrial, OEM, prototypes",touchpadelectronics.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: SMT & THT; supports 0402, 0201 on request, BGA support with X-ray inspections, SPI/AOI, ICT/flying probe testing. Box build: cable assembly, harnesses, enclosures.",Design + assembly focus for prototypes and production; DFM support available.,"Typical equipment: stencil printers, mid-range pick-and-place (Yamaha/JUKI), reflow ovens, AOI, X-ray (if necessary).",
"Alltek Circuits (Alltek Circuit / Alltek Circuit, Inc.)",info@alltekcircuit.com,(972) 485-0800,"Garland, TX",Small / medium,ISO / quick-turn,"Commercial, industrial, OEM, prototypes",alltekcircuit.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: SMT support, 0402 placement, reflow ovens, AOI; selective soldering for PTH.",Quick-turn prototype and small production. Confirm microvia and HDI levels.,"Typical equipment: DEK/MPM printer, JUKI/Yamaha pick-and-place, reflow oven, AOI.",
"AirBorn, Inc.",corporate inquiries via site,(512) 863-5585,"Georgetown, TX",~large,RoHS,"Rugged connectors, aerospace, defense, industrial",airborn.com,"Manufacturer, Supplier","PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: specialized for flex-to-board assembly, cable termination, overmolding, soldering for flex, FFC/connector assemblies, test & inspection for high-reliability interconnects. Conformal coating & potting for ruggedized products.","Specialist: flexible circuits, cable & interconnect assemblies, ruggedized connectors and box builds for aerospace/defense/industrial. Excellent DRC profile for flex/rigid-flex design rules and constraints.","Flex processing equipment (flex lamination presses, laser drills, flex routing, coverlay application); cable assembly machines, crimp presses, automated soldering & reflow adapted for flex, AOI, X-ray for terminations.",
"BENCOR, LLC",sales@BENCOR-LLC.com,979-830-5252,"Brenham, TX",~11–50,Standard quality assertions on site,"OEM electronics, contract manufacturing",bencor-llc.com,"Manufacturer, Supplier","PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: SMT & THT, pick-and-place, reflow, selective soldering, AOI, flying probe/ICT testing available; box build & kitting.","Contract manufacturer focusing on full box builds, cable and harness assembly with PCB assembly services.","Equipment: pick-and-place (Yamaha/Juki/Fuji), reflow ovens, AOI, selective soldering, cable assembly machines.",
"Circuit Design Specialties, Inc. (CDS)",pcbinfo@circuitdesign.com,972-424-1007,"Plano, TX",~10–50,Standard quality processes ,"PCB design, prototype & production electronics",circuitdesign.com,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)","Assembly: design + layout + prototype assembly; support for 0402, typical fine pitch; reflow, AOI, functional testing; design for manufacturability (DFM) services included.",Design house with in-house prototyping & assembly capability — good for DFM driven projects.,"Equipment: CAD/CAM, small pick-and-place, reflow ovens, AOI for prototype verification.",
International Concept Services,randy.manning@neosongu.com,972-939-6543,"Carrollton, TX ",Small / unknown,"UL, RoHS, ISO, CSA",Flexible PCB / contract manufacturing,http://www.neosongu.com/quality.html,Manufacturer,"PCB Fabrication:
Minimum trace width (mm):
Minimum clearance (mm):
Minimum annular ring (mm):
Maximum layer count:
Maximum board thickness (mm):
Maximum board size (mm): (width: , height: )

Vias
Supported types:
Minimum via drill size (mm):

Finishes (ENIG, HASL, OSP, etc.): 

Materials (FR-4, Rogers, Polyimide, etc.)",Assembly: small/medium volume SMT & cable assembly possible via partner network.,Directory-listed PCB service; limited public detail.,Unknown publicly — request equipment list in RFQ.,
